date	concentracao
2/21/2014	0.91
2/22/2014	11.63
2/23/2014	30.58
2/24/2014	14.99
2/25/2014	19.6
2/26/2014	30.42
2/27/2014	27.52
2/28/2014	19.32
3/1/2014	10.05
3/2/2014	13.91
3/3/2014	19.26
3/4/2014	13.85
3/5/2014	16.09
3/6/2014	22.48
4/16/2014	18.06
4/17/2014	26.09
4/18/2014	17.57
4/19/2014	21.26
4/20/2014	22.25
4/21/2014	18.91
4/22/2014	16.49
4/23/2014	34.19
4/24/2014	18.45
4/25/2014	25.11
4/26/2014	27.08
4/27/2014	31.98
4/28/2014	41.09
4/29/2014	37.59
4/30/2014	54.87
5/1/2014	41.98
5/2/2014	50.25
5/3/2014	39.65
5/5/2014	44.79
5/6/2014	33.04
5/7/2014	39.02
5/8/2014	44.1
5/9/2014	38.39
5/10/2014	26.53
5/11/2014	22
5/12/2014	32.75
5/13/2014	38.61
5/14/2014	55.05
5/15/2014	49.87
5/16/2014	58.41
5/17/2014	47.87
5/18/2014	40.45
5/19/2014	86.56
5/20/2014	79.56
5/21/2014	87.49
5/22/2014	58.74
5/23/2014	26.7
5/24/2014	26.29
5/25/2014	26.98
5/26/2014	30.4
5/28/2014	37.96
5/29/2014	45.44
5/30/2014	50.41
5/31/2014	72.37
6/1/2014	41.48
6/2/2014	42.11
6/3/2014	52.22
6/4/2014	49.5
6/5/2014	65.84
6/6/2014	83.36
6/7/2014	83.21
6/8/2014	74.15
6/9/2014	82.65
6/10/2014	46.79
6/11/2014	44.67
6/12/2014	32.03
6/13/2014	45.56
6/14/2014	42.79
6/15/2014	61.17
6/16/2014	57.7
6/17/2014	64.77
6/18/2014	70.64
6/19/2014	42.21
6/20/2014	68.16
6/21/2014	58.38
6/22/2014	69
6/24/2014	52.36
6/25/2014	76
6/26/2014	83.5
6/27/2014	98.56
6/28/2014	83.7
6/29/2014	33.51
6/30/2014	39.1
7/1/2014	64.68
7/2/2014	68.04
7/3/2014	73.63
7/4/2014	63.71
7/5/2014	139.25
7/6/2014	58.69
7/7/2014	94.92
7/8/2014	43.45
7/9/2014	27.94
7/10/2014	21.92
7/11/2014	29.67
7/12/2014	33.22
7/13/2014	15.89
7/15/2014	45.95
7/16/2014	48.6
7/17/2014	65.44
7/18/2014	41.97
7/19/2014	58.98
7/20/2014	66.26
7/21/2014	76.64
7/22/2014	59.34
7/23/2014	62.2
7/24/2014	40.09
7/25/2014	31.96
7/26/2014	29.76
7/27/2014	26.24
7/28/2014	35.95
7/29/2014	32.64
7/30/2014	39.27
7/31/2014	40.42
8/1/2014	57.27
8/2/2014	60.73
8/4/2014	84.41
8/5/2014	76.14
8/6/2014	48.57
8/7/2014	84.39
8/8/2014	82.01
8/9/2014	53.7
8/10/2014	43.64
8/11/2014	65.85
8/12/2014	85.98
8/13/2014	61.32
8/14/2014	37.42
8/15/2014	51.35
8/16/2014	51.7
8/17/2014	33.78
8/18/2014	58.3
8/19/2014	65.63
8/20/2014	71.23
8/22/2014	86.75
8/23/2014	69.33
8/24/2014	84.04
8/25/2014	146.46
8/26/2014	103.98
8/27/2014	55.84
8/29/2014	81.05
8/30/2014	67.18
8/31/2014	74.94
9/1/2014	41.22
9/2/2014	51.56
9/3/2014	28.75
9/4/2014	27.94
9/5/2014	34.3
9/6/2014	41.24
9/7/2014	61.18
9/8/2014	58.02
9/9/2014	48.99
9/10/2014	59.45
9/11/2014	73.11
9/12/2014	90.95
9/13/2014	63.87
9/14/2014	84.95
9/15/2014	86.85
9/16/2014	84.94
9/17/2014	117.4
9/18/2014	108.63
9/19/2014	89.99
9/20/2014	31.54
9/21/2014	28.46
9/22/2014	40.26
9/23/2014	48.87
9/24/2014	51.12
9/25/2014	39.81
9/26/2014	29.73
9/27/2014	17.08
9/29/2014	51.32
10/1/2014	32.09
10/2/2014	38.39
10/3/2014	38.66
10/4/2014	34.82
10/5/2014	41.17
10/6/2014	54.65
10/7/2014	61.48
10/8/2014	72.29
10/9/2014	74.65
10/10/2014	86.31
10/11/2014	89.17
10/12/2014	79.21
10/13/2014	101.14
10/14/2014	115.32
10/15/2014	105.85
10/16/2014	147.1
10/17/2014	159.24
10/18/2014	86.84
10/19/2014	81.56
10/20/2014	45.53
10/21/2014	50.19
10/22/2014	52.69
10/24/2014	53.5
10/25/2014	20.18
10/26/2014	24.89
10/27/2014	42.27
10/28/2014	56.03
10/29/2014	39.83
10/30/2014	70.59
10/31/2014	46.36
11/1/2014	33.18
11/2/2014	28.89
11/3/2014	33.09
11/4/2014	14.83
11/5/2014	27.98
11/6/2014	32.61
11/7/2014	33.81
11/8/2014	32.06
11/10/2014	39.1
11/11/2014	55.21
11/12/2014	77.24
11/13/2014	38.06
11/14/2014	36.49
11/15/2014	27.03
11/17/2014	46.32
11/18/2014	45.37
11/19/2014	53.91
11/20/2014	71.44
11/21/2014	61.35
11/22/2014	40.72
11/23/2014	30.53
11/24/2014	25.92
11/25/2014	18.59
11/26/2014	21.92
11/27/2014	31.42
11/28/2014	36.77
12/4/2014	38.02
12/5/2014	46.04
12/6/2014	24.14
12/7/2014	19.84
12/8/2014	58.85
12/9/2014	12.24
12/10/2014	14.59
12/14/2014	16.73
12/15/2014	42.54
12/16/2014	43.26
12/17/2014	44.23
12/18/2014	37.55
12/19/2014	27.92
12/20/2014	18.07
12/21/2014	13.42
12/23/2014	11.72
12/24/2014	23.3
12/25/2014	22.14
12/27/2014	31.09
12/28/2014	38.18
12/29/2014	16.67
12/30/2014	22.91
1/28/2015	19.07
1/29/2015	20.9
1/30/2015	23.84
1/31/2015	25.24
2/1/2015	26.46
2/2/2015	25.99
2/3/2015	30.85
2/4/2015	22.39
2/5/2015	24.63
2/6/2015	27.05
2/7/2015	19.2
2/9/2015	14.54
2/10/2015	18.65
2/11/2015	19.91
2/12/2015	29.75
2/13/2015	31.54
2/15/2015	17.88
2/16/2015	19.95
2/18/2015	11.92
2/21/2015	35.93
2/22/2015	34.46
2/23/2015	26.4
2/24/2015	21.98
2/25/2015	14.02
2/26/2015	20.52
2/27/2015	21.87
2/28/2015	22.05
3/1/2015	28.69
3/2/2015	39.75
3/3/2015	45.57
