Data	Concentracao	Precipitacao	Temperatura	Umidade	Velocidade_vento
7/1/2014	38.33	0.00	19.10	55.29	1.02
7/2/2014	64.04	0.00	23.13	41.00	1.50
7/3/2014	56.21	0.00	24.90	41.58	1.68
7/4/2014	55.46	0.00	24.98	42.25	1.48
7/5/2014	45.42	0.00	23.76	40.88	1.93
7/6/2014	51.17	0.00	22.18	44.42	2.16
7/7/2014	58.33	0.00	22.18	47.17	1.95
7/8/2014	48.21	0.00	20.15	65.29	2.38
7/9/2014	25.13	0.00	19.46	73.00	2.40
7/10/2014	12.00	0.00	18.69	78.75	2.41
7/11/2014	19.25	0.00	17.91	71.04	2.75
7/12/2014	18.21	0.00	18.78	63.88	1.64
7/13/2014	17.08	0.00	20.08	56.63	2.22
7/14/2014	21.46	0.00	20.01	52.71	2.20
7/15/2014	30.29	0.00	20.21	49.58	2.16
7/16/2014	41.75	0.00	21.55	47.63	2.21
7/17/2014	59.38	0.00	22.69	45.42	2.03
7/18/2014	34.29	0.00	20.12	59.71	2.31
7/19/2014	23.08	0.00	17.59	65.42	1.26
7/20/2014	41.46	0.00	17.48	49.79	1.30
7/21/2014	59.54	0.00	19.78	46.75	1.73
7/22/2014	48.17	0.00	22.43	47.38	2.43
7/23/2014	64.08	0.00	22.38	42.17	2.99
7/24/2014	44.75	0.00	18.98	71.75	3.08
7/25/2014	11.88	0.00	13.40	87.63	1.25
7/26/2014	20.92	0.00	15.02	87.58	1.10
7/27/2014	15.67	0.00	17.32	83.54	1.68
7/28/2014	17.83	0.00	19.36	70.62	2.00
7/29/2014	18.04	0.00	20.82	65.00	2.22
7/30/2014	20.58	0.00	20.21	56.92	2.09
7/31/2014	30.92	0.00	21.29	51.75	1.71
8/1/2014	40.17	0.00	22.56	42.63	1.45
8/2/2014	47.50	0.00	23.43	38.54	1.15
8/3/2014	37.83	0.00	24.52	34.33	1.83
8/4/2014	56.25	0.00	24.95	36.92	1.20
8/5/2014	66.71	0.00	20.81	51.63	3.18
8/6/2014	40.50	0.00	20.24	44.13	2.34
8/7/2014	50.42	0.00	22.29	33.04	2.05
8/8/2014	63.33	0.00	22.78	35.29	2.65
8/9/2014	29.88	0.00	20.88	57.63	2.02
8/10/2014	41.92	0.00	21.84	44.00	2.27
8/11/2014	57.71	0.00	23.27	29.71	1.83
8/12/2014	60.79	0.00	24.93	32.04	1.75
8/13/2014	68.21	0.00	21.35	54.88	3.42
8/14/2014	32.71	0.00	16.08	63.75	4.07
8/15/2014	34.42	0.00	21.23	55.00	2.12
8/16/2014	45.96	0.00	22.99	52.25	2.45
8/17/2014	33.58	0.00	22.00	59.79	2.25
8/18/2014	39.50	0.00	22.95	54.04	2.03
8/19/2014	36.21	0.00	22.20	49.96	2.20
8/20/2014	47.83	0.00	22.63	45.13	1.73
8/21/2014	63.21	0.00	24.14	35.96	2.06
8/22/2014	64.58	0.00	25.26	34.54	1.68
8/23/2014	59.92	0.00	25.59	31.08	1.85
8/24/2014	54.33	0.00	25.81	24.54	2.76
8/25/2014	76.54	0.00	26.25	25.04	2.27
8/26/2014	107.58	0.00	24.88	41.88	1.45
8/27/2014	51.42	0.00	21.49	40.75	1.49
8/28/2014	75.92	0.00	22.34	41.63	1.61
8/29/2014	57.75	0.00	22.05	49.50	2.19
8/30/2014	56.46	0.00	23.89	47.29	1.89
8/31/2014	82.17	0.00	25.40	42.63	2.95
9/1/2014	30.17	0.00	20.63	71.00	2.15
9/2/2014	50.54	0.00	25.98	52.83	1.99
9/3/2014	14.04	0.00	22.55	68.13	3.57
9/4/2014	22.46	0.00	19.73	60.67	4.35
9/5/2014	20.42	0.00	20.80	49.25	2.53
9/6/2014	36.00	0.00	22.11	41.92	2.94
9/7/2014	42.88	0.00	23.84	37.21	2.43
9/8/2014	47.21	0.00	25.61	35.89	2.05
9/9/2014	0.00	0.00	0.00	0.00	0.00
9/10/2014	70.93	0.00	29.54	25.00	2.38
9/11/2014	53.33	0.00	27.73	26.96	1.94
9/12/2014	62.96	0.00	27.68	27.63	2.45
9/13/2014	59.08	0.00	25.58	34.96	2.60
9/14/2014	56.71	0.00	27.01	31.25	2.00
9/15/2014	69.88	0.00	26.91	34.83	2.47
9/16/2014	62.50	0.00	25.32	48.83	1.04
9/17/2014	73.79	0.00	24.91	51.21	2.47
9/18/2014	75.00	0.00	26.47	45.54	2.25
9/19/2014	98.63	0.00	24.33	58.96	2.98
9/20/2014	23.50	0.00	19.94	89.63	2.06
9/21/2014	15.29	0.00	22.11	71.17	1.88
9/22/2014	28.92	0.00	20.89	52.71	3.32
9/23/2014	34.83	0.00	24.70	41.63	2.34
9/24/2014	57.17	0.00	25.21	49.25	4.02
9/25/2014	21.21	0.00	21.89	80.04	2.01
9/26/2014	27.04	0.00	22.76	79.04	2.30
9/27/2014	20.04	0.00	22.11	82.38	2.22
9/28/2014	39.25	0.00	24.55	68.25	1.71
9/29/2014	42.17	0.00	27.60	55.46	2.88
9/30/2014	26.46	0.00	24.81	62.42	2.10
10/1/2014	40.13	0.00	26.68	57.79	2.38
10/2/2014	41.54	0.00	22.17	58.08	4.65
10/3/2014	33.67	0.00	19.96	50.00	4.52
10/4/2014	30.50	0.00	19.06	50.50	3.27
10/5/2014	33.04	0.00	20.43	42.29	3.03
10/6/2014	33.83	0.00	22.02	34.88	2.62
10/7/2014	52.33	0.00	22.40	37.54	2.22
10/8/2014	55.25	0.00	24.78	33.21	2.26
10/9/2014	64.33	0.00	26.90	29.21	2.35
10/10/2014	65.96	0.00	28.63	28.13	2.33
10/11/2014	70.63	0.00	29.93	25.08	2.19
10/12/2014	75.08	0.00	30.15	25.08	1.65
10/13/2014	83.13	0.00	31.01	23.88	1.80
10/14/2014	85.29	0.00	32.67	22.42	2.18
10/15/2014	90.21	0.00	30.60	40.83	2.88
10/16/2014	96.71	0.00	30.35	39.96	2.28
10/17/2014	128.29	0.00	31.90	32.54	2.41
10/18/2014	94.79	0.00	30.26	39.96	2.94
10/19/2014	76.65	0.00	29.34	41.87	3.16
10/20/2014	33.29	0.00	23.86	65.54	2.75
10/21/2014	36.71	0.00	22.82	60.92	3.64
10/22/2014	44.04	0.00	23.90	51.88	3.19
10/23/2014	42.04	0.00	25.34	53.83	2.52
10/24/2014	30.58	0.00	24.78	65.21	2.27
10/25/2014	21.46	0.00	20.74	87.58	2.02
10/26/2014	15.42	0.00	22.58	76.42	2.00
10/27/2014	21.58	0.00	24.50	62.88	2.04
10/28/2014	38.96	0.00	24.37	38.33	2.74
10/29/2014	55.95	0.00	25.83	42.79	2.24
10/30/2014	60.75	0.00	28.84	36.88	2.20
10/31/2014	48.50	0.00	27.13	54.96	2.66
11/1/2014	32.42	0.00	27.21	59.21	2.57
11/2/2014	17.17	0.00	24.97	72.25	2.13
