Data	Concentracao	Precipitacao	Velocidade_vento	Temperatura	Umidade
4/23/2001	34.79	3.80	2.30	22.42	78.25
4/27/2001	38.98	0.00	1.87	21.70	68.50
4/30/2001	33.50	0.00	2.37	21.16	60.75
5/2/2001	31.85	0.00	2.80	22.92	70.00
5/7/2001	35.24	0.00	3.47	16.28	65.75
5/9/2001	14.75	0.00	1.20	17.88	66.00
5/14/2001	25.53	0.40	3.70	15.80	80.25
5/16/2001	12.09	1.70	2.97	15.86	96.25
5/21/2001	58.76	0.00	2.33	17.78	64.75
5/24/2001	54.70	0.00	2.47	18.42	76.50
5/29/2001	31.40	0.00	1.60	19.44	86.25
6/7/2001	54.17	0.00	2.03	20.18	73.00
6/11/2001	33.09	0.00	3.47	19.22	66.00
6/15/2001	48.94	0.00	1.63	17.80	67.00
6/18/2001	37.78	0.00	1.53	15.40	92.50
6/25/2001	42.82	0.00	2.50	19.44	65.75
6/30/2001	49.14	0.00	1.63	16.78	69.00
7/2/2001	81.77	0.00	1.67	17.78	66.00
7/4/2001	60.62	0.00	1.67	17.00	65.75
7/13/2001	40.53	0.00	3.10	14.06	75.25
7/17/2001	53.29	0.00	1.73	17.10	57.25
7/19/2001	75.45	0.00	1.66	18.80	68.00
7/24/2001	40.18	0.00	1.97	17.28	82.50
7/31/2001	43.83	0.00	2.57	18.82	61.50
8/3/2001	41.00	0.00	2.93	18.62	58.75
8/13/2001	40.00	0.00	2.70	16.96	61.50
8/17/2001	40.00	0.00	2.30	17.26	54.00
8/20/2001	40.00	0.00	3.80	21.02	53.75
8/22/2001	40.00	0.00	3.53	19.64	65.00
8/27/2001	40.00	0.00	2.47	20.72	66.50
8/30/2001	40.00	0.00	2.90	21.46	66.50
9/3/2001	40.00	0.00	1.80	21.26	53.50
9/10/2001	59.81	0.00	2.23	24.10	46.25
9/13/2001	46.09	0.00	3.50	22.24	64.50
9/18/2001	33.65	0.00	3.90	15.78	52.75
9/20/2001	45.31	0.00	4.00	19.88	52.00
9/26/2001	24.50	0.00	2.93	20.64	75.25
9/28/2001	33.65	0.20	3.40	21.14	71.50
10/1/2001	27.46	5.20	4.50	20.70	83.75
10/4/2001	33.53	0.00	2.70	20.38	51.25
10/15/2001	44.44	0.00	1.87	21.84	61.75
10/20/2001	15.00	12.40	1.20	19.72	77.75
