Data	Concentra_up	Concentra_down
3/5/2015	37.25	37.25
3/6/2015	31.83	31.83
3/7/2015	21.58	21.58
3/8/2015	16.83	16.83
3/9/2015	15.13	15.13
3/10/2015	22.43	22.43
3/11/2015	13.57	13.57
3/12/2015	27.38	27.38
3/13/2015	23.75	23.75
3/14/2015	25.83	25.83
3/15/2015	24.21	24.21
3/16/2015	24.79	24.79
3/17/2015	24.79	24.79
3/18/2015	24.88	24.88
3/19/2015	18.67	18.67
3/20/2015	23.08	23.08
3/21/2015	20.46	20.46
3/22/2015	17.63	17.63
3/23/2015	17.54	17.54
3/24/2015	17.17	17.17
3/25/2015	29.13	29.13
3/26/2015	39.17	39.17
3/27/2015	34.13	34.13
3/28/2015	28.71	28.71
3/29/2015	25.50	25.50
3/30/2015	21.58	21.58
3/31/2015	22.88	22.88
4/1/2015	22.46	22.46
4/2/2015	20.00	20.00
4/3/2015	21.96	21.96
4/4/2015	26.21	26.21
4/5/2015	31.00	31.00
4/6/2015	17.21	17.21
4/7/2015	19.00	19.00
4/8/2015	25.38	25.38
4/9/2015	28.04	28.04
4/10/2015	27.88	27.88
4/11/2015	27.46	27.46
4/12/2015	26.67	26.67
4/13/2015	27.75	27.75
4/14/2015	36.42	36.42
4/15/2015	40.50	40.50
4/16/2015	27.38	27.38
4/17/2015	28.33	28.33
4/18/2015	41.88	41.88
4/19/2015	25.79	25.79
4/20/2015	24.08	24.08
4/21/2015	26.44	26.44
4/22/2015	15.25	15.25
4/23/2015	16.38	16.38
4/24/2015	18.58	18.58
4/25/2015	17.67	17.67
4/26/2015	13.42	13.42
4/27/2015	18.67	18.67
4/28/2015	24.38	24.38
4/29/2015	20.79	20.79
4/30/2015	14.08	14.08
5/1/2015	23.88	23.88
5/2/2015	28.13	28.13
5/3/2015	36.25	36.25
5/4/2015	23.33	23.33
5/5/2015	13.33	13.33
5/6/2015	21.96	21.96
5/7/2015	22.96	22.96
5/8/2015	20.00	20.00
5/9/2015	23.13	23.13
5/10/2015	29.33	29.33
5/11/2015	19.13	19.13
5/12/2015	16.50	16.50
5/13/2015	15.56	15.56
5/14/2015	16.79	16.79
5/15/2015	26.21	26.21
5/16/2015	44.33	44.33
5/17/2015	0.00	0.00
5/18/2015	26.55	26.55
5/19/2015	22.54	22.54
5/20/2015	27.22	27.22
5/21/2015	26.21	26.21
5/22/2015	33.46	33.46
5/23/2015	40.75	40.75
5/24/2015	38.88	38.88
5/25/2015	38.88	38.88
5/26/2015	23.08	23.08
5/27/2015	35.71	35.71
5/28/2015	24.21	24.21
5/29/2015	22.67	22.67
5/30/2015	27.21	27.21
5/31/2015	15.42	15.42
6/1/2015	15.71	15.71
6/2/2015	14.63	14.63
6/3/2015	28.63	28.63
6/4/2015	38.86	38.86
6/5/2015	0.00	0.00
6/6/2015	0.00	0.00
6/7/2015	0.00	0.00
6/8/2015	41.92	41.92
6/9/2015	46.83	46.83
6/10/2015	57.67	57.67
6/11/2015	53.42	53.42
6/12/2015	27.63	27.63
6/13/2015	42.21	42.21
6/14/2015	54.17	54.17
6/15/2015	24.71	24.71
6/16/2015	25.13	25.13
6/17/2015	40.00	40.00
6/18/2015	38.96	38.96
6/19/2015	11.58	11.58
6/20/2015	20.67	20.67
6/21/2015	30.58	30.58
6/22/2015	38.46	38.46
6/23/2015	41.96	41.96
6/24/2015	15.60	15.60
6/25/2015	15.54	15.54
6/26/2015	20.70	20.70
6/27/2015	26.75	26.75
6/28/2015	28.17	28.17
6/29/2015	44.42	44.42
6/30/2015	22.83	22.83
7/1/2015	28.29	28.29
7/2/2015	19.92	19.92
7/3/2015	17.96	17.96
7/4/2015	14.50	14.50
7/5/2015	27.42	27.42
7/6/2015	27.92	27.92
7/7/2015	24.33	24.33
7/8/2015	20.79	20.79
7/9/2015	30.42	30.42
7/10/2015	18.08	18.08
7/11/2015	30.63	30.63
7/12/2015	35.38	35.38
7/13/2015	41.79	41.79
7/14/2015	40.71	40.71
7/15/2015	39.71	39.71
7/16/2015	39.71	39.71
7/17/2015	37.42	37.42
7/18/2015	38.42	38.42
7/19/2015	44.42	44.42
7/20/2015	35.75	35.75
7/21/2015	13.83	13.83
7/22/2015	32.58	32.58
7/23/2015	36.42	36.42
7/24/2015	27.50	27.50
7/25/2015	20.46	20.46
7/26/2015	24.83	24.83
7/27/2015	36.08	36.08
7/28/2015	35.42	35.42
7/29/2015	38.13	38.13
7/30/2015	45.42	45.42
7/31/2015	52.88	52.88
8/1/2015	48.13	48.13
8/2/2015	49.79	49.79
8/3/2015	48.25	48.25
8/4/2015	45.96	45.96
8/5/2015	59.71	59.71
8/6/2015	58.21	58.21
8/7/2015	51.50	51.50
8/8/2015	38.29	38.29
8/9/2015	37.83	37.83
8/10/2015	38.50	38.50
8/11/2015	44.00	44.00
8/12/2015	51.21	51.21
8/13/2015	47.92	47.92
8/14/2015	54.88	54.88
8/15/2015	41.71	41.71
8/16/2015	35.04	35.04
8/17/2015	58.04	58.04
8/18/2015	65.92	65.92
8/19/2015	23.83	23.83
8/20/2015	19.38	19.38
8/21/2015	32.00	32.00
8/22/2015	43.21	43.21
8/23/2015	15.79	15.79
8/24/2015	18.13	18.13
8/25/2015	34.50	34.50
8/26/2015	22.50	22.50
8/27/2015	27.58	27.58
8/28/2015	28.67	28.67
8/29/2015	38.50	38.50
8/30/2015	53.54	53.54
8/31/2015	49.50	49.50
9/1/2015	13.04	13.04
9/2/2015	27.29	27.29
9/3/2015	23.92	23.92
9/4/2015	16.00	16.00
9/5/2015	25.42	25.42
9/6/2015	34.67	34.67
9/7/2015	17.17	17.17
9/8/2015	22.33	22.33
9/9/2015	23.83	23.83
9/10/2015	14.92	14.92
9/11/2015	17.71	17.71
9/12/2015	12.50	12.50
9/13/2015	16.00	16.00
9/14/2015	30.25	30.25
9/15/2015	45.33	45.33
9/16/2015	51.58	51.58
9/17/2015	52.79	52.79
9/18/2015	45.42	45.42
9/19/2015	30.50	30.50
9/20/2015	33.75	33.75
9/21/2015	46.21	46.21
9/22/2015	45.71	45.71
9/23/2015	69.46	69.46
9/24/2015	71.17	71.17
9/25/2015	23.88	23.88
9/26/2015	32.08	32.08
9/27/2015	25.50	25.50
9/28/2015	32.67	32.67
9/29/2015	23.29	23.29
9/30/2015	22.38	22.38
10/1/2015	37.00	37.00
10/2/2015	18.61	18.61
10/3/2015	13.17	13.17
10/4/2015	13.29	13.29
10/5/2015	20.33	20.33
10/6/2015	34.71	34.71
10/7/2015	53.25	53.25
10/8/2015	41.17	41.17
10/9/2015	19.58	19.58
10/10/2015	28.42	28.42
10/11/2015	15.63	15.63
10/12/2015	0.00	0.00
10/13/2015	36.25	36.25
10/14/2015	0.00	0.00
10/15/2015	0.00	0.00
10/16/2015	0.00	0.00
10/17/2015	0.00	0.00
10/18/2015	0.00	0.00
10/19/2015	0.00	0.00
10/20/2015	0.00	0.00
10/21/2015	0.00	0.00
10/22/2015	0.00	0.00
10/23/2015	0.00	0.00
10/24/2015	0.00	0.00
10/25/2015	0.00	0.00
10/26/2015	0.00	0.00
10/27/2015	0.00	0.00
10/28/2015	0.00	0.00
10/29/2015	0.00	0.00
10/30/2015	0.00	0.00
10/31/2015	0.00	0.00
11/1/2015	0.00	0.00
11/2/2015	13.00	13.00
11/3/2015	19.67	19.67
11/4/2015	18.92	18.92
11/5/2015	22.04	22.04
11/6/2015	11.33	11.33
11/7/2015	12.88	12.88
11/8/2015	25.13	25.13
11/9/2015	28.33	28.33
11/10/2015	26.46	26.46
11/11/2015	24.92	24.92
11/12/2015	33.42	33.42
11/13/2015	25.46	25.46
11/14/2015	23.21	23.21
11/15/2015	17.50	17.50
11/16/2015	23.33	23.33
11/17/2015	24.75	24.75
11/18/2015	31.25	31.25
11/19/2015	19.38	19.38
11/20/2015	15.21	15.21
11/21/2015	17.88	17.88
11/22/2015	21.63	21.63
11/23/2015	20.79	20.79
11/24/2015	18.25	18.25
11/25/2015	16.96	16.96
11/26/2015	22.79	22.79
11/27/2015	32.29	32.29
11/28/2015	18.33	18.33
11/29/2015	14.92	14.92
11/30/2015	15.54	15.54
12/1/2015	16.25	16.25
12/2/2015	17.25	17.25
12/3/2015	21.63	21.63
12/4/2015	27.21	27.21
12/5/2015	21.13	21.13
12/6/2015	13.17	13.17
12/7/2015	18.96	18.96
12/8/2015	33.33	33.33
12/9/2015	29.00	29.00
12/10/2015	24.33	24.33
12/11/2015	34.96	34.96
12/12/2015	19.13	19.13
12/13/2015	25.29	25.29
12/14/2015	22.25	22.25
12/15/2015	15.71	15.71
12/16/2015	16.83	16.83
12/17/2015	32.46	32.46
12/18/2015	31.13	31.13
12/19/2015	21.29	21.29
12/20/2015	22.96	22.96
12/21/2015	31.17	31.17
12/22/2015	26.67	26.67
12/23/2015	24.75	24.75
12/24/2015	24.29	24.29
12/25/2015	15.21	15.21
12/26/2015	21.63	21.63
12/27/2015	17.96	17.96
12/28/2015	17.29	17.29
12/29/2015	11.92	11.92
