Data	Concentracao
3/1/2015	16.31
3/2/2015	22.66
3/3/2015	26.08
3/4/2015	16.61
3/5/2015	18.92
3/6/2015	18.2
3/7/2015	10.56
3/8/2015	8.36
3/9/2015	7.85
3/10/2015	11.13
3/11/2015	13.31
3/12/2015	14.12
3/13/2015	11.5
3/14/2015	9.93
3/15/2015	8.6
3/16/2015	9.91
3/17/2015	17.05
3/18/2015	4.14
3/19/2015	15.47
3/20/2015	11.2
3/21/2015	10.79
3/22/2015	8.33
3/23/2015	16.04
3/24/2015	4.9
3/26/2015	20.07
3/27/2015	12.63
3/28/2015	24.1
3/29/2015	12.9
3/30/2015	9.35
3/31/2015	15.22
4/1/2015	28.22
4/2/2015	17.53
4/3/2015	13.65
4/4/2015	11.71
4/5/2015	6.56
4/6/2015	9.44
4/7/2015	20.25
4/8/2015	18.45
4/9/2015	26.1
4/10/2015	28.23
4/11/2015	19.18
4/12/2015	25.18
4/13/2015	33.85
4/14/2015	21.17
4/15/2015	14.52
4/16/2015	18.23
5/7/2015	18.17
5/8/2015	15.28
5/13/2015	14.76
5/15/2015	32.79
5/18/2015	19.11
5/20/2015	18.4
5/22/2015	17.57
5/25/2015	29.35
5/27/2015	31.68
5/29/2015	14.01
6/2/2015	18.87
6/4/2015	16.5
6/10/2015	27.74
6/12/2015	35.53
6/15/2015	15.92
6/17/2015	23.99
6/19/2015	14.64
6/23/2015	23
6/25/2015	22.35
6/29/2015	19.24
7/1/2015	16.37
7/3/2015	13.49
7/13/2015	21.63
7/31/2015	32.78
8/3/2015	30.71
8/5/2015	35.98
8/7/2015	33.97
8/11/2015	29.51
8/13/2015	33.98
8/17/2015	26.07
8/19/2015	39.75
8/21/2015	28.67
8/25/2015	15.92
8/27/2015	15.96
8/31/2015	32.72
9/2/2015	32.06
9/4/2015	37.09
9/8/2015	12.92
9/10/2015	11.17
9/16/2015	28.69
9/18/2015	30.85
9/21/2015	32.14
9/22/2015	34.01
9/24/2015	53.84
9/28/2015	24.73
9/30/2015	21.45
Media	28.99
10/6/2015	29.5
10/8/2015	27.76
10/12/2015	21.64
10/14/2015	38.38
10/16/2015	12.57
10/20/2015	55.05
10/22/2015	23.08
10/26/2015	15.45
10/28/2015	21.53
11/3/2015	16.28
11/11/2015	28.67
11/13/2015	27.58
11/17/2015	19.13
11/19/2015	19.57
11/23/2015	18.57
11/25/2015	18.58
11/27/2015	24.73
12/1/2015	24.39
12/3/2015	26.49
12/7/2015	21.94
12/9/2015	22.77
12/11/2015	23.43
12/15/2015	19.22
12/17/2015	20.52
12/21/2015	15.8
1/5/2016	19.46
1/7/2016	25.93
 13/01/2016	11.02
1/15/2016	11.07
1/19/2016	18.87
1/21/2016	26.37
1/25/2016	13.34
1/27/2016	20.69
1/29/2016	11.73
2/2/2016	28.96
2/4/2016	27.62
2/8/2016	13.77
2/10/2016	17.12
2/12/2016	18.13
2/16/2016	2.7
2/18/2016	14.68
2/22/2016	12.4
2/24/2016	13.48
2/26/2016	16.67
3/1/2016	13.45
3/3/2016	13.82
3/7/2016	13.52
3/9/2016	18.59
3/11/2016	13.35
3/15/2016	11.32
3/17/2016	10.7
3/21/2016	22.63
3/29/2016	22.35
3/31/2016	21.34
4/4/2016	5.27
4/6/2016	2.97
4/8/2016	5.58
4/12/2016	4.68
4/18/2016	22.55
4/20/2016	25.1
4/22/2016	39.82
4/26/2016	12.72
4/28/2016	19.85
5/2/2016	25.33
5/4/2016	33.36
5/6/2016	35.62
5/9/2016	10.01
5/12/2016	25.55
5/16/2016	15.44
5/18/2016	24.45
5/20/2016	15.77
5/24/2016	14.05
5/26/2016	20.15
5/30/2016	10.92
6/1/2016	14.65
6/3/2016	10.75
6/7/2016	10.62
6/9/2016	21.37
6/13/2016	18.49
6/15/2016	28.96
6/17/2016	24.67
6/21/2016	14.5
6/23/2016	31.76
6/27/2016	13.58
6/29/2016	17.15
7/1/2016	16.13
7/5/2016	19.16
7/7/2016	18.55
7/11/2016	32.05
7/13/2016	32.42
7/15/2016	47.36
7/19/2016	27.08
7/21/2016	37.21
7/25/2016	26.27
7/27/2016	40.27
7/29/2016	38.88
8/2/2016	34.77
8/4/2016	31.35
8/8/2016	48.79
8/10/2016	24.99
8/12/2016	31.58
8/16/2016	25.07
8/18/2016	30.54
8/24/2016	23.73
8/26/2016	28.03
8/30/2016	28.9
9/1/2016	21.66
9/5/2016	24.34
9/9/2016	18.82
9/13/2016	54.77
9/15/2016	28.39
9/19/2016	41.04
9/21/2016	23.01
9/23/2016	40.7
9/27/2016	31.87
9/29/2016	34.37
10/3/2016	19.17
10/5/2016	19.02
10/7/2016	18.07
10/11/2016	19.95
10/13/2016	12.93
10/19/2016	30.71
10/21/2016	19.56
10/25/2016	15.61
10/27/2016	14.35
10/31/2016	15.97
11/2/2016	14.32
11/4/2016	16.58
11/8/2016	14.56
11/10/2016	19.1
11/18/2016	19.22
11/21/2016	36.44
11/23/2016	18.54
11/25/2016	29.68
11/29/2016	17.27
12/1/2016	20.64
12/3/2016	11.79
12/5/2016	5.82
12/7/2016	20.43
12/9/2016	14.17
12/13/2016	8.16
12/15/2016	17.19
12/17/2016	13.1
12/21/2016	13.79
12/23/2016	11.42
1/12/2017	13.4
1/14/2017	11.15
1/17/2017	10.15
1/19/2017	9.94
1/23/2017	9.4
1/25/2017	13.41
1/31/2017	10.85
2/2/2017	10.3
2/6/2017	14.03
2/8/2017	14.03
2/10/2017	13.49
2/14/2017	11.46
2/16/2017	18.82
2/18/2017	17.02
2/20/2017	22.08
2/22/2017	3.23
3/2/2017	0.93
4/10/2017	17.42
4/12/2017	12.69
4/14/2017	14.82
4/18/2017	18.02
4/20/2017	20.5
4/24/2017	13.25
4/26/2017	15.93
5/2/2017	14.95
5/4/2017	19.07
5/6/2017	11.39
5/8/2017	17.88
5/10/2017	21.51
5/12/2017	19.62
5/16/2017	25.91
5/18/2017	13.3
5/22/2017	13.49
5/24/2017	14.24
5/26/2017	20.58
5/30/2017	26.93
6/1/2017	15.74
6/3/2017	22.25
6/5/2017	22.92
6/7/2017	26.47
6/9/2017	12.62
6/13/2017	12.4
6/17/2017	19.71
6/22/2017	15.6
6/24/2017	17.53
6/26/2017	12.54
6/28/2017	16.2
6/30/2017	28.62
8/3/2017	37.3
8/5/2017	2.54
8/9/2017	44.12
8/11/2017	20.59
8/17/2017	35.81
8/21/2017	4.95
8/23/2017	52.52
8/29/2017	41.22
8/31/2017	33.46
9/2/2017	16.07
9/4/2017	88.47
9/6/2017	88.47
9/8/2017	50.24
9/12/2017	40.57
9/14/2017	46.16
9/16/2017	35.13
9/18/2017	59.16
9/20/2017	48.84
9/22/2017	20.47
9/26/2017	91.5
9/30/2017	13.62
10/2/2017	11.5
10/6/2017	25.5
10/10/2017	25.69
10/12/2017	29.76
10/23/2017	15.02
10/25/2017	21.45
10/27/2017	18.58
10/31/2017	6
11/4/2017	10.12
11/6/2017	13.86
11/8/2017	17.06
11/10/2017	12.01
11/21/2017	11.12
11/23/2017	18.32
11/25/2017	13.61
